City,Country,Population
Santa Cruz,Mexico,18192
Malabang,Philippines,12353
Sagana,Philippines,20756
Firovo,Russia,20208
Tercena,Portugal,8650
Seixezelo,Portugal,14298
Esposende,Portugal,24248
Bo Kluea,Thailand,17394
Alvaro Obregon,Mexico,22346
Sammatti,Finland,6419
Sainte-Agathe-des-Monts,Canada,17373
Kerep Wetan,Indonesia,23184
Kimito,Finland,15229
Bradag,Indonesia,12186
Guadalupe Victoria,Mexico,2533
Manis Mekarwangi,Indonesia,24789
Floridablanca,Colombia,7337
Galamares,Portugal,20537
Amuru,Uganda,18399
Sima,Comoros,12021
Buluh Kasap,Indonesia,24391
Limbi,Comoros,22589
Alis,Peru,13603
Tubod,Philippines,5386
Birendranagar,Nepal,22900
Cristalina,Brazil,16650
Ayolas,Paraguay,8247
Changping,China,12718
Kose,Estonia,6348
Ciseureuheun,Indonesia,24060
Gaopu,China,16111
Temuji,Indonesia,3467
El Puerto,Dominican Republic,18244
Eira Nova,Portugal,23793
Panguipulli,Chile,22181
Isidro Fabela,Mexico,22168
Narbonne,France,11901
Mandalasari,Indonesia,15224
La Breita,Peru,16306
Chuanxi,China,21340
Langres,France,20551
San Juan Ixcoy,Guatemala,17272
Tvrdonice,Czech Republic,7331
Argivai,Portugal,2752
Kuala Lumpur,Malaysia,24020
Zaozerne,Ukraine,11693
Deqing,China,3295
Arras,France,2936
Bofuer,Indonesia,15775
El Carmen,Argentina,13827
Kuala Lumpur,Malaysia,10896
Kawangohari,Indonesia,9929
Bangko,Indonesia,20654
Tuoshi,China,15348
Caotang,China,4681
Chuanpu,China,3045
Butungan,Indonesia,23061
Zhatay,Russia,18726
Guacara,Venezuela,20079
Dindima,Nigeria,21465
Banjarjo,Indonesia,9850
Antabamba,Peru,23005
Moro,Pakistan,14668
La Esperanza,Mexico,5661
Bayonne,France,7446
Dukla,Poland,15090
Open Stage,Maldives,10277
Dorp Tera Kora,"Bonaire, Saint Eustatius and Saba ",9122
Umbanyar,Indonesia,23690
Harian,Indonesia,12433
Pak Phli,Thailand,18118
Shreveport,United States,4352
Proletarskiy,Russia,21721
El Progreso,Panama,22601
Sukamenak,Indonesia,8055
Charikar,Afghanistan,19890
Sukamantri Satu,Indonesia,7252
Boca Suno,Ecuador,3826
Molina,Chile,21146
Magalalag,Philippines,11618
Banakaja,Indonesia,4517
Helsingborg,Sweden,10444
Hecun,China,21774
Morden,Canada,12835
Osapsio,Indonesia,3162
Webuye,Kenya,12282
Rizal,Philippines,24771
Cibanten,Indonesia,3960
Chornoliztsi,Ukraine,23053
Sabana Grande de Palenque,Dominican Republic,16040
Citalahab,Indonesia,4231
Pantai Ceuremen,Indonesia,2574
Gongju,South Korea,20111
Bonavista,Canada,22001
Richmond,United States,21790
Denver,United States,7689
Faraulep,Micronesia,9936
Maswarah,Yemen,17818
Arauca,Colombia,16783
Zhiletovo,Russia,22054
Rosmalen,Netherlands,20220
Segbwema,Sierra Leone,21183
Gayamdesa,Indonesia,15897
Mahaplag,Philippines,4534
Lais,Philippines,21600
Dungon,Philippines,24095
Jungkat Selatan,Indonesia,4539
Likhobory,Russia,12736
Tungol,Philippines,5851
Pancur,Indonesia,3020
Sarirejo Satu,Indonesia,16395
Kliwon Cibingbin,Indonesia,23665
Heliconia,Colombia,22968
Kyjov,Czech Republic,12765
Gaoshi,China,22175
Frei,Norway,6504
Kotel,Bulgaria,7969
Guxi,China,24670
Semambung,Indonesia,16996
Ifanadiana,Madagascar,18126
Malakwal City,Pakistan,12242
Pengilon,Indonesia,12348
Baitoa,Dominican Republic,3885
Werangere,Indonesia,5415
Boden,Sweden,12126
Tiyuguan,China,20512
Staromyshastovskaya,Russia,15738
Aranguren,Argentina,21540
Rakitnoye,Russia,2862
Chuandao,China,12397
Campo Maior,Brazil,24614
Zliv,Czech Republic,19686
Dahua,China,13014
Machala,Ecuador,10688
Suleja,Nigeria,12411
Letpandan,Myanmar,16375
Kirzhach,Russia,18678
Heyou,China,16148
Daduchuan,China,13872
Hikkaduwa,Sri Lanka,16996
Arzakan,Armenia,4654
Baleal,Portugal,23396
Simpangpasir,Indonesia,19101
Hailang,China,4978
Bulls,New Zealand,3622
Cibenda,Indonesia,17663
Inglewood,United States,18705
Cimo de Vila,Portugal,5763
Changbai,China,23452
Dalamdesa Kalapadua,Indonesia,15496
Nay Pyi Taw,Myanmar,18741
Rosice,Czech Republic,8022
Tras Cerros,Honduras,18205
Balatun,Bosnia and Herzegovina,20144
Nong Khai,Thailand,5247
Zhongshangang,China,3416
Bairros,Portugal,10496
Fatualam,Indonesia,9367
Bomomani,Indonesia,24722
Kanye,Botswana,15864
San Antonio,United States,11267
Nantes,France,3610
Bitobe,Indonesia,20361
Drawsko Pomorskie,Poland,18007
Majagual,Colombia,14073
El Cortezo,Panama,24475
Solnechnyy,Russia,6833
Isheyevka,Russia,21271
Cikeusal,Indonesia,21938
Refojos de Riba de Ave,Portugal,4065
Cunha,Brazil,19752
Mayskiy,Russia,23290
Anchang,China,20067
Schroeder,Brazil,16208
Nelipyno,Ukraine,21270
Deje,Sweden,16389
Gaplokan,Indonesia,9808
Ar Ruways,United Arab Emirates,13423
Simpangpasir,Indonesia,22811
Toronto,Canada,18435
Ponta do Sol,Cape Verde,9430
Ijebu-Ife,Nigeria,5247
Telnice,Czech Republic,13627
Baihe,China,18243
Zhangzhu,China,7127
Guxi,China,22095
Libode,South Africa,3370
Livadiya,Ukraine,17647
Pryamitsyno,Russia,18066
Tigbinan,Philippines,2797
Rozhdestveno,Russia,12076
Palmito,Colombia,3596
Zalanga,Nigeria,21216
Buin,Chile,2772
Oliveira de Frades,Portugal,17560
Amargosa,Brazil,11364
Zhongxing,China,13086
Zeist,Netherlands,22781
Salfīt,Palestinian Territory,4984
Khodzha-Maston,Tajikistan,15368
Dordrecht,Netherlands,11291
Casillas,Guatemala,13344
Orsha,Belarus,21760
Mastung,Pakistan,24385
Pemzashen,Armenia,22361
Chenqing,China,23914
Daping,China,8612
Hanting,China,10223
Mogapi,Botswana,15487
Wenquan,China,22073
San Antonio,United States,9632
Biting,Indonesia,4812
Seshcha,Russia,12541
Avignon,France,24958
Suisan,South Korea,2809
Pancur,Indonesia,6699
Houston,United States,14768
Roissy Charles-de-Gaulle,France,16258
Tokonou,Guinea,11630
Karanganyar,Indonesia,24800
Kuchurhan,Ukraine,14918
Buldon,Philippines,11090
Irving,United States,7801
Anmore,Canada,11761
Beijie,China,4201
Vahdat,Tajikistan,6376
Toledo,Spain,6507
Utsjoki,Finland,19797
Sekirnik,Macedonia,14989
Bitkine,Chad,13989
Kut Chap,Thailand,8550
Baiheshan,China,13430
Gaoliban,China,21824
Frederiksberg,Denmark,16421
Fabianki,Poland,12001
Banjar Kubu,Indonesia,24186
Alcoutim,Portugal,22000
Lucma,Peru,11553
Catbalogan,Philippines,11688
Mori,Japan,18159
Margacina,Indonesia,11645
Aketi,Democratic Republic of the Congo,21555
Arroio Grande,Brazil,6655
Kajiado,Kenya,15734
Delaware,Canada,18856
Sojo,Peru,4617
Preserje pri Radomljah,Slovenia,8882
Samphanthawong,Thailand,12530
Callahuanca,Peru,14436
Opatowiec,Poland,7791
Prochowice,Poland,3163
Riba de Ave,Portugal,3946
Likupang,Indonesia,10175
Binzhou,China,24808
Maindang,Philippines,5379
Kogota,Japan,6520
Enhtal,Mongolia,7049
Blois,France,22750
Uptar,Russia,11695
Bantu,Indonesia,13252
Chama,Zambia,3284
Usarin,Palestinian Territory,18819
Villa Regina,Argentina,11151
Erdao,China,19895
Khawr Maksar,Yemen,11064
Kama,Russia,9725
Riangblolong,Indonesia,5230
Barotac Viejo,Philippines,6165
Lagoa do Itaenga,Brazil,4455
Zaleszany,Poland,16381
Wujiabao,China,19337
Cardona,Philippines,20739
Ottawa,Canada,5841
Mangunjaya,Indonesia,6281
Ngangguk,Indonesia,15649
Stamboliyski,Bulgaria,3126
Tilik,Philippines,13875
Lamarosa,Portugal,3358
Lat Lum Kaeo,Thailand,4949
Idfu,Egypt,12666
Tippi,Ethiopia,10440
Makarov,Russia,14053
Sembung,Indonesia,24989
Sremski Karlovci,Serbia,9593
Vanimo,Papua New Guinea,16078
Calebasses,Mauritius,16386
Lebowakgomo,South Africa,7322
Bristol,United Kingdom,13885
Polo,Philippines,7347
Stryszawa,Poland,24753
Bakung,Philippines,17549
Concepcion,Philippines,19366
Doom,Indonesia,17631
Bilao,Philippines,6961
Soure,Portugal,8209
Duyang,China,23796
Wenquan,China,7299
Bantilan,Indonesia,23804
Leuweheq,Indonesia,6942
Lapi,Philippines,13500
Op,Indonesia,16973
Hedi,China,16832
Gwangjeok,South Korea,19525
Fox Creek,Canada,24090
Lama,Portugal,24669
Rominimbang,Philippines,15031
Haikou,China,21275
Zhuoshui,China,6105
Sambongmulyo,Indonesia,19443
Orsha,Belarus,14669
Jrashen,Armenia,18373
Zhentou,China,20383
Paris 10,France,23981
Kanal,Slovenia,3135
Castlepollard,Ireland,13448
Sim,Russia,12112
Daejeon,South Korea,5356
Brest,France,5964
Kināna,Sudan,15892
Tomsk,Russia,5273
Benito Juarez,Mexico,15770
Ghormach,Afghanistan,15923
Kanzaki,Japan,9106
Kuala Terengganu,Malaysia,13275
Pensacola,United States,16795
Recarei,Portugal,22569
Anan,Japan,14495
Landskrona,Sweden,22342
Carusucan,Philippines,13766
Minneapolis,United States,7307
Matahuasi,Peru,21426
Gaosheng,China,10701
Jolo,Philippines,16307
Harbin,China,10710
Sapiranga,Brazil,12357
Ribas do Rio Pardo,Brazil,19005
Kulotino,Russia,22671
San Rafael,Philippines,7514
Cogreg Wetan,Indonesia,13979
Kut Rang,Thailand,4602
Orlando,United States,6759
Bellavista,Peru,19212
Lescar,France,10634
Buseresere,Tanzania,6658
Angol,Chile,5048
Waterloo,Canada,19561
La Gi,Vietnam,21988
Cairo,Egypt,21421
Saguiaran,Philippines,8361
Lipin Bor,Russia,10012
Abuja,Nigeria,17400
Bantawora,Indonesia,21444
Waihai,China,24751
Zhangcun,China,18087
Plaeng Yao,Thailand,6055
Guja,Japan,18843
Caijiagang,China,21704
Consuelo,Philippines,11094
Santa Magdalena,Philippines,3803
Gemblengmulyo,Indonesia,23737
Bagumbayan,Philippines,11949
Tuanshan,China,4114
Sapporo,Japan,16755
Cocachacra,Peru,16325
Kurjan,Albania,16905
Lobitos,Peru,10024
Bremen,Germany,5768
Harare,Zimbabwe,16679
Lagos,Nigeria,24800
Oshawa,Canada,13000
